연번,행정동명,도로명주소,지번주소,장소명,모델명,설치일자,좌표정보(X),좌표정보(Y),관리기관명,담당부서명,관리기관전화번호,데이터기준일자
147,중앙동,영천시 석동1길14,영천시 녹전동 385,마을회관,SGA-5K30,2017,36.003556,128.915512,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
148,중앙동,영천시 녹전길 78-12,영천시 녹전동 507-3,노인정,ACT-A42,2021,36.005756,128.918403,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
149,서부동,영천시 오수2길 43,영천시 오수동 138-3,마을회관,HS-PA2200,2019,35.960489,128.916705,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
150,서부동,영천시 서운길 179,영천시 서산동 905-1,마을회관,SGA-5K30,2019,35.977314,128.885815,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
151,완산동,영천시 완산중앙4길 5,영천시 완산동 928-22,마을회관,HS-PA2200,2019,35.961612,128.938076,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
152,남부동,영천시 도동구역길37,영천시 도동 542-10,마을회관,HS-PA2200,2019,35.941368,128.927948,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
153,남부동,영천시 예실큰길 1,영천시 본촌동 619-2,마을회관,HS-PA2200,2019,35.924762,128.953148,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
154,남부동,영천시 범어2길 3-3,영천시 범어동765-1,마을회관,SGA-5K30,2017,35.943819,128.959648,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
155,완산동,,영천시 문외동 317,강둔치,SGA-4310,2006,35.968681,128.938564,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
156,완산동,,영천시 완산동 1050,강둔치,SGA-4310,2006,35.964763,128.933456,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
157,금호읍,,영천시 금호읍 교대리 661-2,강둔치,SGA-4310,2006,35.931594,128.874962,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
158,고경면,,영천시 고경면 단포리 407-70,강둔치,SGA-4310,2006,35.978726,128.969931,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
159,화북면,,영천시 화북면 자천리 2122,강둔치,SGA-4310,2006,36.103153,128.911979,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
160,임고면,,영천시 임고면 덕연리 993-21,강둔치,SGA-4310,2006,36.046959,128.990973,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
161,자양면,,영천시 금호읍 구암리 437-1 ,제방,SGA-4310,2006,35.922341,128.942205,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
162,신녕면,,영천시 신녕면 가천리 176-2,마을회관,WB-TRM3000,2022,36.0548,128.7916,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
163,신녕면,,영천시 신녕면 화성리 522-1,다리,WB-TRM3000,2022,36.049,128.79,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
164,신녕면,영천시 신녕면 화성중앙길 30,,면사무소,WB-TRM3000,2022,36.04532,128.78977,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
